Unnamed: 0,Date,Tweet,latitude,longitude,city,sentiment
0,2022-01-31,"Nazis, banned books, suppressed voting rights, no abortion, dictator, insurrection. 
What have you let trump do to America?

My God #VoteBlueNoMatterWho 
You have to hate America not to.",40.7128,-74.006,New York City,Negative
1,2022-01-31,@SenatorLankford In case you haven't noticed abortion is LEGAL in this country.,40.7128,-74.006,New York City,Neutral
2,2022-01-31,@SenatorLankford So you support pushing abortion underground?,40.7128,-74.006,New York City,Negative
3,2022-01-31,@RayRiosy @Gdad1 @ltwlauren @AngelMHart417 @JimRDecker3rd @RobertChivsano @Ol_Man_Winter @LiberalWarrior_ @Brad_Wil_Bee @purpledragula @GothicFunktion @calderaro_james @WhitemanDonna @LottieResister @MeganRN67 @Lasher0408 @Thenumbered666 @Emma_has_hope Not to mention abortion- which is also a right…..,40.7128,-74.006,New York City,Neutral
4,2022-01-31,@alicee_pll @miaana_14 People who support the pro abortion movement are the ones shaming God's gifts.,40.7128,-74.006,New York City,Negative
5,2022-01-31,"@SenSusanCollins How hypocritical are you, to accuse @POTUS of politicizing his choice of a SCOTUS nominee, by stating that it will be the first black woman to be nominated to SCOTUS? I never heard you criticize Trump nor McConnell for appointing all anti-abortion rt wing judges.",40.7128,-74.006,New York City,Negative
6,2022-01-30,@margrie12 @talkRADIO @JamesMelville @cristo_radio Now do abortion and sex transition treatment and,40.7128,-74.006,New York City,Negative
7,2022-01-30,"""But by focusing on an individual narrative, the movie doesn’t go far enough in critiquing the systems that perpetuate inequities in abortion access, such as race and class barriers.""

https://t.co/TfeV5bxBae",40.7128,-74.006,New York City,Negative
8,2022-01-30,"@JoyAnnReid Yep, ""Long Don(g) Silver"" Thomas😖 and the ""'...I will make you pay...😡""' Kavanagh.  Ginni Thomas is a longtime anti abortion activist. https://t.co/G6uDwNTI1U",40.7128,-74.006,New York City,Negative
9,2022-01-29,"What country bans books from schools, suppressed voting, made abortion illegal, allowed civilians to carry guns, no protection for LGBTQ,  and worship their dictator that they would sell their soul to the devil.

Which country?  🤔",40.7128,-74.006,New York City,Negative
10,2022-01-29,"@buppers1954 @Mike_Pence Abortion is not ""their body "", it is the baby's body that gets killed.",40.7128,-74.006,New York City,Negative
